song_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key
2EOJ52LQDXnFUDvB1cFg9O,0.858,0.21,173.959,0.187,0.015,0.466,0.669,197329,-0.511,0.358,0,9
4dOnFaJJkzLAMsN95YsMdy,0.851,0.204,87.035,0.0411,0.00106,0.687,0.726,226220,-1.707,0.61,0,11
5n8Aro6j1bEGIy7Tpo7FV7,0.75,0.0538,98.691,0.303,0.0193,0,0.859,345717,-8.325,0.857,0,8
6KIKRz9eSTXdNsGUnomdtW,0.878,0.334,102.848,0.15,0.0461,0,0.834,258688,-9.484,0.418,1,8
3ZUwkZWSiYxkP8kZDlxqnL,0.74,0.201,91.999,0.195,0.284,0,0.578,241240,-5.915,0.75,0,11
2DfUGhyw8PWoDdBRusfhjI,0.921,0.556,85.464,0.335,0.047,0,0.466,539020,-8.128,0.543,0,10
1n4jwRVXdkK2U34nBDUKKT,0.238,0.55,156.907,0.265,0.142,0.0859,0.357,118067,-16.78,0.494,0,8
4dASQiO1Eoo3RJvt74FtXB,0.786,0.65,169.021,0.317,0.255,0,0.502,243491,-4.378,0.739,0,9
5TlAXiBCBwiQnIZUAA4Jkg,0.621,0.607,128.882,0.362,0.432,0,0.684,353960,-8.442,0.537,0,11
3lRSfCNYx9XvJdCL2JcdVa,0.527,0.111,78.97,0.0266,0.443,0,0.618,225267,-7.209,0.386,0,5
6IRdLKIyS4p7XNiP8r6rsx,0.444,0.177,185.044,0.372,0.283,0.143,0.726,168840,-8.922,0.569,0,8
1XRgIKC5TPwo7nWGyKqgG0,0.633,0.0993,139.948,0.168,0.0232,0.000343,0.89,233087,-5.475,0.425,1,11
29f11nLUcMYQ2Ndbnb7N0o,0.276,0.146,99.623,0.0287,0.89,0,0.623,187621,-8.893,0.308,0,5
43ZyHQITOjhciSUUNPVRHc,0.523,0.117,119.889,0.0597,0.239,0,0.936,124056,-6.71,0.699,1,5
0rOLFkjY5DSIViVBNnzOuK,0.638,0.374,167.834,0.11,0.387,0.00014,0.552,180019,-7.474,0.332,1,1
6IZvVAP7VPPnsGX6bvgkqg,0.535,0.154,138.842,0.0572,0.0786,1.68e-05,0.665,275253,-7.056,0.37,0,4
55DuTmvSGwNQR4cBgqYuYL,0.531,0.126,94.907,0.375,0.0115,0,0.584,223080,-6.907,0.346,1,0
2xLMifQCjDGFmkHkpNLD9h,0.73,0.124,155.008,0.222,0.00513,0,0.834,312820,-3.714,0.446,1,8
5VuxWXbt7XENQCtE9TzpTv,0.717,0.106,160.981,0.034,0.341,2.4e-05,0.672,194560,-2.714,0.225,1,1
2EGtBS7Ws3ajiSkJLviFJ4,0.597,0.138,127.931,0.111,0.0457,0,0.958,180453,-7.092,0.619,0,9
3kZoay4ANo86ehb6s4RwS9,0.799,0.3,143.052,0.0993,0.189,0,0.787,303053,-4.68,0.835,0,8
