artist_name,track_name,end_time,ms_played,track_id
Three Days Grace,I Am Machine,2020-02-02 13:57,200146,2UDumaw7osnyjH7RZ2DLpB
Three Days Grace,So What,2020-02-02 14:00,177666,79HeGKO8bLZjvSyVidqTiq
Three Days Grace,Car Crash,2020-02-02 14:03,170906,2rC9oaV3lthiRcokhTeuo9
Three Days Grace,Nothing's Fair In Love and War,2020-02-02 14:07,224760,1E3elyeDZawq8JlTEIrCvL
Three Days Grace,One Too Many,2020-02-02 14:10,161040,2WYmSryxSqsGVe30KMAQA1
Three Days Grace,The End Is Not the Answer,2020-02-02 14:12,172600,4OdHYN8JT2t1jn5bH8lQWg
Three Days Grace,The Real You,2020-02-02 14:16,235573,54C4TfHY00UYEnhMaYgfqZ
Three Days Grace,Sign Of The Times,2020-02-02 14:20,191346,4wSv1wn35AbZ3uEII4nPhg
Three Days Grace,Chalk Outline,2020-02-02 14:37,181986,0XGV1bem5W9ICY2rgleryV
Three Days Grace,The High Road,2020-02-02 14:40,193680,5M7y0vJBmG5TDmOIBN9run
Three Days Grace,Operate,2020-02-02 14:44,202840,3tAs13DYCXiZSH9o01dB7w
Three Days Grace,Anonymous,2020-02-02 14:47,193626,1xI7M6PDSXLll1dt9j2snA
Three Days Grace,Misery Loves My Company,2020-02-02 14:49,162293,1We9y0dSphaMHt4owfGWpw
Three Days Grace,Give In To Me,2020-02-02 14:53,199000,3kUxUw4b766Fk5RNGK0ZCA
Three Days Grace,Happiness,2020-02-02 14:56,173666,0TzIlhgIIpaYPYiBMcjjo9
Three Days Grace,Give Me a Reason,2020-02-02 15:00,243440,073B0vPoZJi9KqOOJjII9q
Three Days Grace,Time That Remains,2020-02-02 15:03,192200,5GyQUJKq4c9CTQtKPuP4tV
Three Days Grace,Expectations,2020-02-02 15:06,162960,0sh4LMVyTlLbJhCjaaCmri
Three Days Grace,Broken Glass,2020-02-02 15:09,201013,6rpAJECCjVZG3cNt7o9xBv
Three Days Grace,Unbreakable Heart,2020-02-02 15:12,206213,5lmMoocYsTT0yRgfMSDizZ
Three Days Grace,Bitter Taste,2020-02-02 15:16,240773,1cYtqvYDbuzjgSJsAkTRaH
Three Days Grace,Break,2020-02-02 15:20,193106,4urxRqBRiaH0i20OKBsgxc
Three Days Grace,World so Cold,2020-02-02 15:24,243000,0LPx8WfsRrXCF92YtINFtN
Three Days Grace,Lost in You,2020-02-02 15:28,232813,1uiwlmWedlNpzAxDSRGqdK
Three Days Grace,The Good Life,2020-02-02 15:30,173173,55KYlnsC6nYnr3IykbmJwE
Three Days Grace,No More,2020-02-02 15:34,225493,1bPRhOz3nOfEIoLjB1YYT3
Three Days Grace,Last to Know,2020-02-02 15:38,207466,1o4Pf2GIMDCD7ifIM2yI77
Three Days Grace,Someone Who Cares,2020-02-02 15:43,292013,3THZtwFfwGqnJPLdtkbesl
Three Days Grace,Bully,2020-02-02 15:46,218666,3umZYbgTkZEnZCae8HKqZh
Three Days Grace,Without You,2020-02-02 15:50,213773,0hmb7mLw2Y5m5Op1HFK1kr
Three Days Grace,Goin' Down,2020-02-02 15:53,185800,5fMOlPVPDpeOqhSSX4cnfu
Three Days Grace,Life Starts Now,2020-02-02 15:56,188080,4Rtc87aysfzgqRMFcSqWme
Three Days Grace,Burn,2020-02-02 16:00,267173,56PMSIrOK5iZDbRti08Jai
Three Days Grace,Just Like You,2020-02-02 16:04,186893,1RtnIF8uRwTLxmcR87V6Wo
Eminem,Marsh,2020-02-02 16:21,680,34d7sGX6WUqq8f04e7CSNF
Lit Killah,Tan Bien (feat. Agus Padilla),2020-02-02 16:21,596,43Q1jBoHh3pQkh3Oy7TA1g
Eminem,Little Engine,2020-02-02 16:24,177293,4qNWEOMyexn7b8Icyk29t9
